

  -0.188   -1.149    2.355     1    21    58
  -0.188   -1.159    2.355     1    20    95
  -0.178   -1.159    2.353     0    20   100
  -0.178   -1.149    2.353     0    21    75
  -0.188   -1.139    2.355     1    22    51
  -0.188   -1.129    2.355     1    23    53
  -0.188   -1.119    2.355     1    24    53




  -0.207   -1.219    2.360     3    14    78
  -0.197   -1.219    2.358     2    14    78
  -0.188   -1.219    2.355     1    14    98
  -0.197   -1.209    2.358     2    15   100
  -0.207   -1.209    2.360     3    15    84
  -0.207   -1.199    2.360     3    16    78
  -0.207   -1.229    2.360     3    13    63
  -0.197   -1.229    2.358     2    13    70
  -0.188   -1.229    2.355     1    13    82
  -0.178   -1.229    2.353     0    13    76
  -0.178   -1.219    2.353     0    14    72
  -0.178   -1.209    2.353     0    15    96
  -0.217   -1.189    2.363     4    17    73
  -0.207   -1.189    2.360     3    17    60
  -0.207   -1.239    2.360     3    12    74
  -0.197   -1.239    2.358     2    12    67
  -0.188   -1.239    2.355     1    12    77
  -0.178   -1.239    2.353     0    12    76
  -0.226   -1.189    2.365     5    17    51
  -0.217   -1.179    2.363     4    18    53
  -0.207   -1.179    2.360     3    18    72
  -0.197   -1.249    2.358     2    11    60
  -0.188   -1.249    2.355     1    11    91
  -0.178   -1.249    2.353     0    11    63
  -0.236   -1.199    2.368     6    16    96
  -0.217   -1.169    2.363     4    19    53
  -0.188   -1.259    2.355     1    10    95
  -0.178   -1.259    2.353     0    10    60
  -0.226   -1.209    2.365     5    15    75
  -0.246   -1.199    2.370     7    16    52
  -0.246   -1.189    2.370     7    17    76
  -0.188   -1.269    2.355     1     9    84
  -0.178   -1.269    2.353     0     9    54
  -0.255   -1.189    2.373     8    17    78
  -0.246   -1.179    2.370     7    18    80
  -0.188   -1.279    2.355     1     8    55
  -0.178   -1.279    2.353     0     8    51
  -0.246   -1.169    2.370     7    19    72
  -0.236   -1.169    2.368     6    19    78
  -0.197   -1.289    2.358     2     7    53
  -0.246   -1.159    2.370     7    20    73
  -0.207   -1.299    2.360     3     6    64
  -0.197   -1.299    2.358     2     6    87
  -0.207   -1.279    2.360     3     8    53
  -0.255   -1.149    2.373     8    21    95
  -0.236   -1.149    2.368     6    21    95
  -0.246   -1.149    2.370     7    21    75
  -0.217   -1.309    2.363     4     5    79
  -0.217   -1.299    2.363     4     6    72
  -0.217   -1.289    2.363     4     7    88
  -0.207   -1.309    2.360     3     5    69
  -0.217   -1.269    2.363     4     9    92
  -0.207   -1.269    2.360     3     9    87
  -0.255   -1.139    2.373     8    22    84
  -0.246   -1.139    2.370     7    22    92
  -0.236   -1.139    2.368     6    22   100
  -0.226   -1.319    2.365     5     4    95
  -0.217   -1.319    2.363     4     4    83
  -0.217   -1.259    2.363     4    10    83
  -0.255   -1.129    2.373     8    23    89
  -0.236   -1.329    2.368     6     3    88
  -0.226   -1.329    2.365     5     3    79
  -0.217   -1.329    2.363     4     3    80
  -0.265   -1.119    2.376     9    24    73
  -0.236   -1.339    2.368     6     2    82
  -0.226   -1.339    2.365     5     2    67
  -0.217   -1.339    2.363     4     2    77
  -0.275   -1.109    2.378    10    25    84
  -0.236   -1.349    2.368     6     1    87
  -0.217   -1.349    2.363     4     1    68
  -0.284   -1.119    2.381    11    24    82
