x y score
0.075 0.18 1.0
0.065 0.18 0.0
0.055 0.18 1.0
0.045 0.18 1.0
0.035 0.18 1.0
0.025 0.18 1.0
0.015 0.18 2.0
0.005 0.18 0.0
-0.005 0.18 0.0
-0.015 0.18 0.0
-0.025 0.18 0.0
-0.035 0.18 0.0
-0.045 0.18 0.0
-0.055 0.18 2.0
-0.065 0.18 1.0
-0.075 0.18 0.0
-0.085 0.18 1.0
-0.095 0.18 1.0
-0.105 0.18 1.0
-0.115 0.18 0.0
-0.125 0.18 0.0
-0.135 0.18 0.0
-0.145 0.18 1.0
-0.155 0.18 1.0
-0.165 0.18 0.0
-0.175 0.18 0.0
-0.185 0.18 0.0
-0.195 0.18 4.0
-0.205 0.18 0.0
-0.215 0.18 0.0
-0.225 0.18 0.0
-0.235 0.18 0.0
0.235 0.162 0.0
0.225 0.162 0.0
0.215 0.162 0.0
0.205 0.162 0.0
0.195 0.162 0.0
0.185 0.162 0.0
0.175 0.162 0.0
0.165 0.162 0.0
0.155 0.162 1.0
0.145 0.162 1.0
0.135 0.162 0.0
0.125 0.162 0.0
0.115 0.162 1.0
0.105 0.162 1.0
0.095 0.162 0.0
0.085 0.162 0.0
0.075 0.162 0.0
0.065 0.162 1.0
0.055 0.162 1.0
0.045 0.162 0.0
0.035 0.162 0.0
0.025 0.162 1.0
0.015 0.162 0.0
0.005 0.162 0.0
-0.005 0.162 3.0
-0.015 0.162 1.0
-0.025 0.162 2.0
-0.035 0.162 0.0
-0.045 0.162 1.0
-0.055 0.162 0.0
-0.065 0.162 0.0
-0.075 0.162 0.0
-0.085 0.162 0.0
-0.095 0.162 1.0
-0.105 0.162 1.0
-0.115 0.162 2.0
-0.125 0.162 0.0
-0.135 0.162 0.0
-0.145 0.162 0.0
-0.155 0.162 2.0
-0.165 0.162 0.0
-0.175 0.162 0.0
-0.185 0.162 0.0
-0.195 0.162 0.0
-0.205 0.162 0.0
-0.215 0.162 0.0
-0.225 0.162 0.0
-0.235 0.162 0.0
0.235 0.144 0.0
0.225 0.144 0.0
0.215 0.144 1.0
0.205 0.144 0.0
0.195 0.144 1.0
0.185 0.144 0.0
0.175 0.144 1.0
0.165 0.144 0.0
0.155 0.144 0.0
0.145 0.144 0.0
0.135 0.144 0.0
0.125 0.144 0.0
0.115 0.144 1.0
0.105 0.144 1.0
0.095 0.144 0.0
0.085 0.144 0.0
0.075 0.144 0.0
0.065 0.144 0.0
0.055 0.144 1.0
0.045 0.144 1.0
0.035 0.144 1.0
0.025 0.144 1.0
0.015 0.144 1.0
0.005 0.144 1.0
-0.005 0.144 0.0
-0.015 0.144 0.0
-0.025 0.144 0.0
-0.035 0.144 3.0
-0.045 0.144 0.0
-0.055 0.144 0.0
-0.065 0.144 0.0
-0.075 0.144 2.0
