x,y,score
33,12,255
34,12,255
35,12,255
0,13,255
1,13,255
2,13,255
3,13,255
4,13,255
5,13,254
6,13,205
7,13,194
8,13,194
9,13,194
10,13,194
11,13,194
12,13,194
13,13,194
14,13,194
15,13,212
16,13,245
17,13,215
18,13,194
19,13,194
20,13,194
21,13,194
22,13,194
23,13,194
24,13,196
25,13,240
26,13,255
27,13,255
28,13,255
29,13,255
30,13,255
31,13,255
32,13,255
33,13,255
34,13,255
35,13,255
0,14,255
1,14,255
2,14,255
3,14,255
4,14,255
5,14,255
6,14,241
7,14,194
8,14,194
9,14,194
10,14,194
11,14,194
12,14,194
13,14,203
14,14,237
15,14,255
16,14,255
17,14,254
18,14,212
19,14,194
20,14,194
21,14,194
22,14,194
23,14,194
24,14,194
25,14,198
26,14,243
27,14,255
28,14,255
29,14,255
30,14,255
31,14,255
32,14,255
33,14,255
34,14,255
35,14,255
0,15,255
1,15,255
2,15,255
3,15,255
4,15,255
5,15,255
6,15,255
7,15,216
8,15,194
9,15,194
10,15,194
11,15,197
12,15,227
13,15,254
14,15,255
15,15,255
16,15,255
17,15,255
18,15,253
19,15,208
20,15,194
21,15,194
22,15,194
23,15,194
24,15,194
25,15,204
26,15,248
27,15,255
28,15,255
29,15,255
30,15,255
31,15,255
32,15,255
33,15,255
34,15,255
35,15,255
0,16,255
1,16,255
2,16,255
3,16,255
4,16,255
5,16,255
6,16,255
7,16,249
8,16,197
9,16,194
10,16,218
11,16,249
12,16,255
13,16,255
14,16,255
15,16,255
16,16,255
17,16,255
18,16,255
19,16,251
20,16,206
21,16,194
22,16,194
23,16,194
24,16,208
25,16,251
26,16,255
27,16,255
28,16,255
29,16,255
30,16,255
31,16,255
32,16,255
33,16,255
34,16,255
35,16,255
0,17,255
1,17,255
2,17,255
3,17,255
4,17,255
5,17,255
6,17,255
7,17,255
8,17,235
9,17,243
10,17,255
11,17,255
12,17,255
13,17,255
14,17,255
15,17,255
16,17,255
17,17,255
18,17,255
19,17,255
20,17,250
21,17,203
22,17,194
23,17,212
24,17,252
25,17,255
26,17,255
27,17,255
28,17,255
29,17,255
30,17,255
31,17,255
32,17,255
33,17,255
34,17,255
35,17,255
0,18,255
1,18,255
2,18,255
3,18,255
4,18,255
5,18,255
6,18,255
7,18,255
8,18,255
9,18,255
10,18,255
11,18,255
12,18,255
13,18,255
14,18,255
15,18,255
16,18,255
17,18,255
18,18,255
19,18,255
20,18,255
21,18,248
22,18,221
23,18,254
24,18,255
25,18,255
26,18,255
27,18,255
28,18,255
29,18,255
30,18,255
31,18,255
32,18,255
33,18,255
34,18,255
35,18,255
0,19,255
1,19,255
2,19,255
3,19,255
4,19,255
5,19,255
6,19,255
7,19,255
8,19,255
9,19,255
10,19,255
11,19,255
12,19,255
13,19,255
14,19,255
15,19,255
16,19,255
17,19,255
18,19,255
19,19,255
20,19,255
21,19,255
22,19,255
23,19,255
24,19,255
25,19,255
26,19,255
27,19,255
28,19,255
29,19,255
30,19,255
31,19,255
32,19,255
33,19,255
34,19,255
35,19,255
