,root_dir,measure_id,p_index,mode,puckid,pinid,sample_name,wavelength,raster_vbeam,raster_hbeam,att_raster,hebi_att,exp_raster,dist_raster,loopsize,score_min,score_max,maxhits,total_osc,osc_width,ds_vbeam,ds_hbeam,exp_ds,dist_ds,dose_ds,offset_angle,reduced_fact,ntimes,meas_name,cry_min_size_um,cry_max_size_um,hel_full_osc,hel_part_osc,raster_roi,ln2_flag,cover_scan_flag,zoomcap_flag,warm_time,isDone,isSkip,isMount,isLoopCenter,isRaster,scan_height,scan_width,n_mount,nds_multi,nds_helpart,t_meas_start,t_cent_start,t_cent_end,t_raster_start,t_ds_start,t_ds_end,t_dismount_start,t_dismount_end,data_index,n_mount_fails,log_mount,hel_cry_size,flux,phs_per_deg
14,/user/target/Auto/2023B/BL32XU_240215_Ohto,19868,14,helical,HIRANO01,15,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
15,/user/target/Auto/2023B/BL32XU_240215_Ohto,19869,15,helical,HIRANO01,16,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
16,/user/target/Auto/2023B/BL32XU_240215_Ohto,19870,16,helical,HIRANO02,1,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
17,/user/target/Auto/2023B/BL32XU_240215_Ohto,19871,17,helical,HIRANO02,2,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
18,/user/target/Auto/2023B/BL32XU_240215_Ohto,19872,18,helical,HIRANO02,3,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
19,/user/target/Auto/2023B/BL32XU_240215_Ohto,19873,19,helical,HIRANO02,4,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
20,/user/target/Auto/2023B/BL32XU_240215_Ohto,19874,20,helical,HIRANO02,5,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
21,/user/target/Auto/2023B/BL32XU_240215_Ohto,19875,21,helical,HIRANO02,6,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
22,/user/target/Auto/2023B/BL32XU_240215_Ohto,19876,22,helical,HIRANO02,7,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
23,/user/target/Auto/2023B/BL32XU_240215_Ohto,19877,23,helical,HIRANO02,8,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
24,/user/target/Auto/2023B/BL32XU_240215_Ohto,19878,24,helical,HIRANO02,9,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
25,/user/target/Auto/2023B/BL32XU_240215_Ohto,19879,25,helical,HIRANO02,10,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
26,/user/target/Auto/2023B/BL32XU_240215_Ohto,19880,26,helical,HIRANO02,11,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
27,/user/target/Auto/2023B/BL32XU_240215_Ohto,19881,27,helical,HIRANO02,12,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
28,/user/target/Auto/2023B/BL32XU_240215_Ohto,19882,28,helical,HIRANO02,13,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
29,/user/target/Auto/2023B/BL32XU_240215_Ohto,19883,29,helical,HIRANO02,14,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
30,/user/target/Auto/2023B/BL32XU_240215_Ohto,19884,30,helical,HIRANO02,15,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
31,/user/target/Auto/2023B/BL32XU_240215_Ohto,19885,31,helical,HIRANO02,16,DNII,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,10.0,10.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
32,/user/target/Auto/2023B/BL32XU_240215_Ohto,19886,32,helical,CPS1734,1,TLR8DC3967,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
33,/user/target/Auto/2023B/BL32XU_240215_Ohto,19887,33,helical,CPS1734,2,TLR8DC3967,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
34,/user/target/Auto/2023B/BL32XU_240215_Ohto,19888,34,helical,CPS1734,3,TLR8DC3967,1.0,15.0,10.0,44.322,44.322,0.01,200.0,350.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,100.0,100.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
35,/user/target/Auto/2023B/BL32XU_240215_Ohto,19889,35,helical,CPS1734,4,TLR8DC3967,1.0,15.0,10.0,44.322,44.322,0.01,200.0,350.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,100.0,100.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
36,/user/target/Auto/2023B/BL32XU_240215_Ohto,19890,36,helical,CPS1734,5,TLR8DC3967,1.0,15.0,10.0,44.322,44.322,0.01,200.0,350.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,100.0,100.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
37,/user/target/Auto/2023B/BL32XU_240215_Ohto,19891,37,helical,CPS1734,6,TLR8eGpApU,1.0,15.0,10.0,44.322,44.322,0.01,200.0,450.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,200.0,200.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
38,/user/target/Auto/2023B/BL32XU_240215_Ohto,19892,38,helical,CPS1734,7,TLR8382U,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
39,/user/target/Auto/2023B/BL32XU_240215_Ohto,19893,39,helical,CPS1734,8,TLR8382U,1.0,15.0,10.0,44.322,44.322,0.01,200.0,350.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,100.0,100.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
40,/user/target/Auto/2023B/BL32XU_240215_Ohto,19894,40,helical,CPS1734,9,TLR8382U,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,50.0,50.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
41,/user/target/Auto/2023B/BL32XU_240215_Ohto,19895,41,helical,CPS1734,10,TLR8sGpApU,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,50.0,50.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
42,/user/target/Auto/2023B/BL32XU_240215_Ohto,19896,42,helical,CPS1734,11,TLR8sGpApU,1.0,15.0,10.0,44.322,44.322,0.01,200.0,450.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,200.0,200.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
43,/user/target/Auto/2023B/BL32XU_240215_Ohto,19897,43,helical,CPS1734,12,TLR8sGpApU,1.0,15.0,10.0,44.322,44.322,0.01,200.0,300.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,50.0,50.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
44,/user/target/Auto/2023B/BL32XU_240215_Ohto,19898,44,helical,CPS1734,13,TLR8sGpApU,1.0,15.0,10.0,44.322,44.322,0.01,200.0,350.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,100.0,100.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
45,/user/target/Auto/2023B/BL32XU_240215_Ohto,19899,45,helical,CPS1734,14,TLR8eGpApU,1.0,15.0,10.0,44.322,44.322,0.01,200.0,350.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,100.0,100.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
46,/user/target/Auto/2023B/BL32XU_240215_Ohto,19900,46,helical,CPS1734,15,TLR8eGpApU,1.0,15.0,10.0,44.322,44.322,0.01,200.0,350.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,100.0,100.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
47,/user/target/Auto/2023B/BL32XU_240215_Ohto,19901,47,helical,CPS1734,16,TLR8eGpApU,1.0,15.0,10.0,44.322,44.322,0.01,200.0,450.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,200.0,200.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
48,/user/target/Auto/2023B/BL32XU_240215_Ohto,19902,48,helical,KOZO0003,1,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
49,/user/target/Auto/2023B/BL32XU_240215_Ohto,19903,49,helical,KOZO0003,2,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
50,/user/target/Auto/2023B/BL32XU_240215_Ohto,19904,50,helical,KOZO0003,3,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,450.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,200.0,200.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
51,/user/target/Auto/2023B/BL32XU_240215_Ohto,19905,51,helical,KOZO0003,4,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
52,/user/target/Auto/2023B/BL32XU_240215_Ohto,19906,52,helical,KOZO0003,5,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
53,/user/target/Auto/2023B/BL32XU_240215_Ohto,19907,53,helical,KOZO0003,6,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
54,/user/target/Auto/2023B/BL32XU_240215_Ohto,19908,54,helical,KOZO0003,7,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
55,/user/target/Auto/2023B/BL32XU_240215_Ohto,19909,55,helical,KOZO0003,8,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
56,/user/target/Auto/2023B/BL32XU_240215_Ohto,19910,56,helical,KOZO0003,9,TLR8GAAv54u,1.0,15.0,10.0,44.322,44.322,0.01,200.0,550.0,10.0,9999.0,1,360.0,0.1,15.0,10.0,0.02,184.6,10.0,0.0,1.0,1,normal,300.0,300.0,60.0,40.0,1,1,1,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,
